Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-05;55,00;64,39;6,71;36,22;5,37;26,00
2020-01-12;53,00;72,88;0,00;34,45;0,00;18,00
2020-01-19;32,00;61,33;9,33;29,33;0,00;6,00
2020-01-26;45,00;68,82;10,59;41,03;5,29;12,00
2020-02-02;28,00;72,00;10,67;30,67;0,00;4,00
2020-02-09;47,00;83,26;0,00;13,43;0,00;17,00
2020-02-16;42,00;63,68;0,00;24,39;0,00;6,00
2020-02-23;18,00;54,00;0,00;31,85;0,00;10,00
2020-03-01;43,00;67,19;5,38;16,13;6,72;10,00
2020-03-08;23,00;69,00;10,82;29,76;0,00;0,00
2020-03-15;10,00;28,75;0,00;25,00;0,00;14,00
2020-03-22;11,00;34,38;0,00;15,13;0,00;12,00
2020-03-29;29,00;14,50;10,55;5,27;0,00;0,00
2020-04-05;12,00;33,33;5,33;10,67;0,00;6,00
2020-04-12;24,00;25,33;0,00;12,00;8,00;14,00
2020-04-19;11,00;23,38;0,00;13,75;5,50;0,00
2020-04-26;5,00;16,25;0,00;23,75;0,00;6,00
2020-05-03;0,00;14,00;0,00;14,00;0,00;7,00
2020-05-10;14,00;11,20;0,00;8,40;4,20;5,00
2020-05-17;12,00;8,00;0,00;17,33;0,00;17,00
2020-05-24;9,00;30,00;9,00;4,50;0,00;5,00
2020-05-31;17,00;31,38;0,00;10,46;6,54;0,00
2020-06-07;16,00;18,67;0,00;17,33;8,00;0,00
2020-06-14;18,00;42,43;3,86;11,57;6,43;0,00
2020-06-21;16,00;17,33;6,67;16,00;0,00;4,00
2020-06-28;13,00;22,10;0,00;6,50;0,00;6,00
2020-07-05;42,00;44,71;6,77;20,32;0,00;0,00
2020-07-12;23,00;56,82;0,00;16,24;0,00;5,00
2020-07-19;16,00;32,00;0,00;12,00;0,00;8,00
2020-07-26;0,00;34,00;9,00;4,00;0,00;6,00
2020-08-02;19,00;67,86;0,00;13,57;0,00;16,00
2020-08-09;29,00;27,68;0,00;9,23;0,00;15,00
2020-08-16;11,00;59,13;0,00;11,00;4,13;13,00
2020-08-23;25,00;40,28;0,00;13,89;0,00;0,00
2020-08-30;16,00;16,00;0,00;14,67;0,00;9,00
2020-09-06;23,00;37,88;6,76;0,00;0,00;0,00
2020-09-13;9,00;32,14;0,00;0,00;0,00;13,00
2020-09-20;34,00;21,76;0,00;13,60;6,80;7,00
2020-09-27;5,00;13,75;0,00;0,00;0,00;12,00
2020-10-04;11,00;15,13;4,13;13,75;0,00;0,00
2020-10-11;8,00;13,33;0,00;8,00;6,67;0,00
2020-10-18;22,00;10,35;0,00;12,94;5,18;4,00
2020-10-25;0,00;4,00;0,00;0,00;0,00;0,00
2020-11-01;9,00;25,71;7,71;5,14;0,00;13,00
2020-11-08;22,00;30,25;0,00;11,00;0,00;0,00
2020-11-15;0,00;22,00;4,00;12,00;0,00;7,00
2020-11-22;16,00;26,67;0,00;13,33;0,00;0,00
2020-11-29;16,00;40,00;10,67;21,33;5,33;12,00
2020-12-06;38,00;63,79;5,43;9,50;0,00;11,00
2020-12-13;53,00;90,10;5,30;13,25;15,90;0,00
2020-12-20;48,00;85,33;13,33;22,67;8,00;21,00
2020-12-27;21,00;94,50;0,00;9,19;0,00;16,00
2021-01-03;49,00;131,11;7,95;18,54;9,27;0,00
2021-01-10;44,00;133,33;0,00;17,33;0,00;18,00
2021-01-17;20,00;85,33;9,33;20,00;0,00;63,00
2021-01-24;13,00;28,89;11,56;10,11;13,00;5,00
2021-01-31;15,00;68,75;3,75;15,00;0,00;12,00
2021-02-07;10,00;47,50;5,00;18,75;8,75;8,00
2021-02-14;11,00;42,78;0,00;9,78;4,89;10,00
2021-02-21;29,00;27,68;17,14;13,18;5,27;0,00
2021-02-28;27,00;21,60;0,00;6,75;6,75;15,00
2021-03-07;19,00;32,57;0,00;10,86;0,00;9,00
2021-03-14;8,00;20,00;0,00;13,33;0,00;0,00
2021-03-21;20,00;30,67;9,33;10,67;0,00;0,00
2021-03-28;38,00;22,28;0,00;0,00;0,00;0,00
2021-04-04;16,00;20,00;0,00;40,00;0,00;0,00
2021-04-11;28,00;33,33;5,33;26,67;0,00;5,00
2021-04-18;17,00;40,54;7,85;9,15;5,23;9,00
2021-04-25;19,00;13,57;0,00;0,00;0,00;0,00
2021-05-02;18,00;33,43;0,00;12,86;14,14;4,00
2021-05-09;18,00;30,86;0,00;16,71;0,00;13,00
2021-05-16;28,00;50,67;9,33;18,67;5,33;4,00
2021-05-23;17,00;27,46;9,15;20,92;0,00;0,00
2021-05-30;21,00;34,13;0,00;26,25;0,00;11,00
2021-06-06;28,00;48,00;6,67;14,67;0,00;7,00
2021-06-13;27,00;43,20;5,40;12,15;5,40;0,00
2021-06-20;25,00;43,42;9,21;26,32;0,00;15,00
2021-06-27;27,00;52,65;8,10;12,15;5,40;7,00
2021-07-04;31,00;66,04;4,04;6,74;17,52;9,00
2021-07-11;17,00;39,23;10,46;0,00;5,23;0,00
2021-07-18;25,00;51,32;7,89;35,53;9,21;0,00
2021-07-25;17,00;28,77;0,00;26,15;19,62;0,00
2021-08-01;12,00;42,67;0,00;22,67;0,00;24,00
2021-08-08;41,00;45,10;0,00;19,13;0,00;13,00
2021-08-15;14,00;43,40;12,60;35,00;14,00;8,00
2021-08-22;12,00;28,00;17,33;9,33;0,00;0,00
2021-08-29;21,00;28,88;0,00;15,75;0,00;0,00
2021-09-05;11,00;24,75;0,00;17,88;12,38;0,00
2021-09-12;25,00;25,00;9,72;25,00;0,00;6,00
2021-09-19;5,00;33,75;10,00;37,50;0,00;10,00
2021-09-26;10,00;23,75;0,00;30,00;10,00;0,00
2021-10-03;10,00;30,00;12,86;25,71;21,43;9,00
2021-10-10;26,00;14,30;0,00;41,60;9,10;25,00
2021-10-17;28,00;29,33;0,00;16,00;0,00;11,00
2021-10-24;17,00;37,92;5,23;36,62;7,85;11,00
2021-10-31;25,00;63,89;0,00;31,94;0,00;15,00
2021-11-07;20,00;60,00;8,00;32,00;0,00;13,00
2021-11-14;13,00;36,40;0,00;14,30;0,00;13,00
2021-11-21;10,00;80,00;0,00;30,00;0,00;24,00
2021-11-28;19,00;39,36;0,00;10,86;12,21;100,00
2021-12-05;19,00;31,21;0,00;21,71;0,00;8,00
2021-12-12;21,00;58,80;0,00;35,00;32,20;8,00
2021-12-19;23,00;74,41;10,82;20,29;8,12;0,00
2021-12-26;32,00;58,67;12,00;45,33;0,00;0,00
2022-01-02;50,00;64,86;0,00;28,38;0,00;38,00
2022-01-09;51,00;52,34;5,37;25,50;0,00;11,00
2022-01-16;31,00;51,22;0,00;56,61;0,00;17,00
2022-01-23;41,00;42,37;0,00;32,80;0,00;16,00
2022-01-30;26,00;61,58;0,00;23,26;5,47;10,00
2022-02-06;31,00;28,30;0,00;37,74;12,13;5,00
2022-02-13;29,00;63,27;9,23;47,45;5,27;5,00
2022-02-20;25,00;44,74;21,05;31,58;5,26;7,00
2022-02-27;27,00;60,43;0,00;30,86;5,14;7,00
2022-03-06;27,00;60,75;0,00;31,05;6,75;0,00
2022-03-13;35,00;56,54;0,00;33,65;0,00;0,00
2022-03-20;35,00;70,00;5,38;36,35;0,00;20,00
2022-03-27;22,00;71,18;11,65;33,65;0,00;8,00
2022-04-03;41,00;58,19;0,00;38,35;0,00;5,00
2022-04-10;19,00;74,64;0,00;39,36;0,00;12,00
2022-04-17;29,00;50,09;6,59;25,05;0,00;5,00
2022-04-24;21,00;71,40;7,00;39,20;0,00;6,00
2022-05-01;18,00;41,14;0,00;20,57;0,00;14,00
2022-05-08;17,00;31,38;3,92;13,08;0,00;11,00
2022-05-15;15,00;46,36;0,00;27,27;0,00;12,00
2022-05-22;28,00;34,67;9,33;34,67;0,00;23,00
2022-05-29;29,00;48,77;0,00;29,00;13,18;7,00
2022-06-05;26,00;35,58;0,00;26,00;0,00;20,00
2022-06-12;29,00;30,32;5,27;11,86;0,00;9,00
2022-06-19;15,00;36,82;0,00;25,91;8,18;0,00
2022-06-26;5,00;46,25;7,50;31,25;0,00;7,00
2022-07-03;23,00;52,76;5,41;17,59;0,00;14,00
2022-07-10;29,00;46,14;0,00;30,32;0,00;9,00
2022-07-17;30,00;58,64;0,00;23,18;0,00;5,00
2022-07-24;39,00;57,83;5,38;30,93;0,00;0,00
2022-07-31;17,00;39,23;6,54;35,31;0,00;0,00
2022-08-07;15,00;32,73;19,09;20,45;0,00;7,00
2022-08-14;19,00;48,86;0,00;4,07;0,00;5,00
2022-08-21;22,00;40,12;0,00;36,24;0,00;0,00
2022-08-28;15,00;27,27;0,00;34,09;35,45;26,00
2022-09-04;14,00;37,80;7,00;21,00;0,00;0,00
2022-09-11;14,00;36,91;0,00;15,27;6,36;9,00
2022-09-18;26,00;29,90;0,00;32,50;0,00;0,00
2022-09-25;17,00;26,92;0,00;41,08;0,00;10,00
2022-10-02;14,00;32,20;0,00;5,60;0,00;0,00
2022-10-09;6,00;27,60;0,00;28,80;0,00;0,00
2022-10-16;21,00;42,00;16,80;22,40;0,00;0,00
2022-10-23;34,00;40,80;0,00;0,00;9,52;0,00
2022-10-30;31,00;55,26;0,00;22,91;0,00;7,00
2022-11-06;17,00;36,62;11,77;23,54;9,15;12,00
2022-11-13;25,00;50,00;0,00;23,68;0,00;7,00
2022-11-20;19,00;33,93;0,00;17,64;0,00;6,00
2022-11-27;21,00;47,25;0,00;5,25;0,00;0,00
2022-12-04;15,00;34,09;5,45;17,73;0,00;14,00
2022-12-11;16,00;37,33;0,00;26,67;17,33;7,00
2022-12-18;18,00;33,43;7,71;14,14;0,00;0,00
2022-12-25;31,00;47,17;8,09;29,65;5,39;0,00
2023-01-01;26,00;52,00;0,00;42,42;0,00;15,00
2023-01-08;35,00;82,12;0,00;37,69;0,00;0,00
2023-01-15;29,00;61,95;13,18;32,95;13,18;9,00
2023-01-22;31,00;49,87;4,04;17,52;8,09;9,00
2023-01-29;27,00;64,80;5,40;18,90;10,80;7,00
2023-02-05;24,00;53,33;0,00;14,67;0,00;9,00
2023-02-12;50,00;50,00;13,51;17,57;0,00;23,00
2023-02-19;25,00;67,11;9,21;25,00;0,00;19,00
2023-02-26;23,00;59,53;9,47;24,35;0,00;7,00
2023-03-05;7,00;53,20;0,00;22,40;4,20;6,00
2023-03-12;18,00;43,71;0,00;24,43;0,00;9,00
2023-03-19;19,00;43,07;0,00;17,73;0,00;21,00
2023-03-26;25,00;36,84;0,00;26,32;0,00;11,00
2023-04-02;18,00;43,71;3,86;23,14;3,86;10,00
2023-04-09;24,00;44,00;10,67;14,67;0,00;11,00
2023-04-16;26,00;35,58;0,00;15,05;0,00;6,00
2023-04-23;11,00;39,88;0,00;22,00;0,00;11,00
2023-04-30;11,00;49,50;5,50;24,75;4,13;6,00
2023-05-07;19,00;43,43;13,57;16,29;0,00;15,00
2023-05-14;27,00;36,00;0,00;11,57;0,00;20,00
2023-05-21;15,00;30,00;0,00;13,64;0,00;10,00
2023-05-28;19,00;36,64;0,00;17,64;5,43;8,00
2023-06-04;13,00;20,80;0,00;10,40;11,70;22,00
2023-06-11;32,00;28,00;0,00;20,00;0,00;11,00
