Semaine;Nice (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Bordeaux (FR);Tours (FR);Hamburg (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES)
2022-04-24;67,00;15,00;10,00;8,00;23,00;21,00;7,00;10,00;23,00;24,00;22,00;33,00;54,00;34,00;13,00;182,24;192,96;24,12;120,60;67,00;216,46;56,69;30,92;76,57;62,21;86,14;220,14;402,00;11,17;402,00;178,67;513,67;692,33;111,67;469,00
2022-05-01;85,00;18,00;0,00;7,00;16,00;19,00;13,00;0,00;14,00;16,00;8,00;26,00;40,00;16,00;31,00;241,29;219,35;27,42;112,42;65,00;240,00;40,00;10,00;70,00;65,00;125,00;245,00;382,50;0,00;2125,00;191,25;595,00;740,71;133,57;352,14
2022-05-08;85,00;15,00;0,00;0,00;16,00;7,00;8,00;12,00;8,00;18,00;32,00;32,00;59,00;25,00;38,00;208,39;233,06;30,16;123,39;50,00;215,00;45,00;20,00;70,00;90,00;100,00;235,00;488,75;10,63;425,00;191,25;570,71;777,14;109,29;376,43
2022-05-15;77,00;20,00;0,00;6,00;14,00;0,00;21,00;0,00;24,00;25,00;11,00;38,00;48,00;21,00;26,00;184,25;176,00;38,50;143,00;46,20;169,40;30,80;25,67;62,56;72,19;81,81;202,13;462,00;12,83;179,67;231,00;561,00;649,00;88,00;330,00
2022-05-22;81,00;11,00;0,00;0,00;17,00;8,00;12,00;0,00;19,00;26,00;8,00;20,00;57,00;28,00;35,00;178,20;243,00;24,30;113,40;50,63;187,31;45,56;30,38;61,94;57,18;104,82;228,71;324,00;0,00;121,50;162,00;624,86;763,71;115,71;335,57
2022-05-29;100,00;24,00;15,00;0,00;16,00;15,00;6,00;11,00;14,00;20,00;22,00;45,00;30,00;30,00;22,00;221,62;245,95;48,65;105,41;60,00;215,00;45,00;20,00;66,67;71,43;104,76;223,81;425,00;25,00;175,00;225,00;644,44;722,22;122,22;277,78
2022-06-05;73,00;15,00;0,00;12,00;0,00;8,00;6,00;4,00;25,00;19,00;0,00;30,00;42,00;15,00;31,00;194,67;210,89;45,96;124,37;78,21;224,21;52,14;20,86;63,27;68,13;87,60;223,87;438,00;12,17;170,33;243,33;644,83;839,50;146,00;365,00
2022-06-12;80,00;18,00;10,00;10,00;0,00;27,00;12,00;7,00;26,00;18,00;21,00;16,00;37,00;32,00;15,00;240,00;210,67;34,67;125,33;65,00;210,00;65,00;25,00;80,00;65,88;94,12;207,06;440,00;0,00;120,00;160,00;617,14;777,14;102,86;320,00
2022-06-19;67,00;32,00;0,00;11,00;17,00;0,00;0,00;0,00;19,00;34,00;17,00;35,00;49,00;27,00;27,00;211,72;268,00;37,52;134,00;97,92;211,31;61,85;10,31;71,79;62,21;110,07;239,29;402,00;11,17;134,00;201,00;591,83;759,33;111,67;312,67
2022-06-26;82,00;11,00;0,00;9,00;8,00;11,00;10,00;8,00;18,00;18,00;24,00;47,00;72,00;15,00;0,00;221,40;237,80;32,80;150,33;66,63;230,63;61,50;20,50;82,00;67,53;110,94;241,18;389,50;0,00;123,00;184,50;632,57;784,86;117,14;339,71
2022-07-03;85,00;14,00;0,00;0,00;19,00;15,00;12,00;8,00;41,00;32,00;26,00;23,00;57,00;28,00;30,00;233,06;255,00;30,16;172,74;65,00;215,00;45,00;20,00;80,28;75,56;118,06;226,67;403,75;0,00;127,50;191,25;643,57;813,57;145,71;352,14
2022-07-10;59,00;19,00;0,00;0,00;12,00;0,00;16,00;0,00;30,00;24,00;16,00;35,00;56,00;22,00;16,00;214,55;222,59;42,91;131,41;78,67;206,50;39,33;9,83;68,83;54,08;122,92;236,00;393,33;19,67;137,67;216,33;601,80;790,60;129,80;295,00
2022-07-17;68,00;11,00;0,00;7,00;17,00;10,00;9,00;7,00;17,00;24,00;7,00;37,00;51,00;18,00;32,00;231,20;220,32;29,92;136,00;62,77;214,46;31,38;15,69;82,57;48,57;121,43;267,14;385,33;11,33;158,67;181,33;544,00;793,33;124,67;317,33
2022-07-24;73,00;20,00;0,00;7,00;20,00;6,00;9,00;7,00;19,00;18,00;8,00;20,00;51,00;14,00;19,00;227,11;202,78;43,26;181,15;78,21;219,00;52,14;20,86;97,33;63,27;82,73;248,20;389,33;0,00;170,33;170,33;571,83;754,33;133,83;328,50
2022-07-31;38,00;18,00;0,00;4,00;18,00;8,00;8,00;8,00;24,00;17,00;19,00;48,00;35,00;28,00;48,00;217,14;238,86;29,86;133,00;81,43;249,71;59,71;16,29;76,00;57,00;118,75;261,25;342,00;9,50;133,00;171,00;620,67;823,33;152,00;329,33
2022-08-07;62,00;18,00;0,00;0,00;11,00;7,00;13,00;13,00;39,00;29,00;19,00;27,00;46,00;20,00;42,00;229,13;245,30;35,04;126,70;93,00;180,83;46,50;20,67;104,92;62,00;90,62;238,46;372,00;0,00;144,67;186,00;620,00;793,60;99,20;372,00
2022-08-14;56,00;23,00;22,00;31,00;11,00;6,00;0,00;8,00;27,00;18,00;13,00;57,00;61,00;27,00;31,00;248,00;213,33;34,67;93,33;76,36;224,00;45,82;40,73;81,45;45,82;117,09;249,45;476,00;0,00;168,00;252,00;560,00;705,60;123,20;302,40
2022-08-21;52,00;24,00;4,00;5,00;18,00;6,00;11,00;0,00;14,00;24,00;17,00;24,00;78,00;13,00;42,00;202,53;260,00;30,11;134,11;67,60;239,20;46,80;26,00;94,55;61,45;94,55;260,00;390,00;26,00;182,00;286,00;457,60;686,40;104,00;280,80
2022-08-28;58,00;5,00;0,00;0,00;11,00;9,00;11,00;0,00;19,00;16,00;32,00;23,00;58,00;21,00;55,00;196,10;234,76;38,67;151,90;58,00;258,36;68,55;10,55;120,83;43,50;82,17;246,50;309,33;0,00;116,00;212,67;580,00;777,20;139,20;336,40
2022-09-04;47,00;10,00;0,00;7,00;7,00;10,00;0,00;0,00;18,00;34,00;14,00;32,00;36,00;19,00;27,00;179,71;240,53;33,18;107,82;73,11;266,33;36,56;20,89;84,60;70,50;94,00;216,20;446,50;0,00;141,00;211,50;540,50;822,50;141,00;317,25
2022-09-11;48,00;9,00;0,00;6,00;16,00;0,00;0,00;6,00;21,00;26,00;26,00;19,00;53,00;9,00;30,00;162,67;168,00;29,33;117,33;69,33;197,33;42,67;0,00;76,80;43,20;91,20;240,00;336,00;12,00;144,00;168,00;528,00;888,00;108,00;288,00
2022-09-18;39,00;15,00;0,00;0,00;7,00;22,00;0,00;0,00;25,00;11,00;22,00;15,00;41,00;21,00;29,00;161,57;164,36;30,64;114,21;68,25;175,50;48,75;14,63;78,00;58,50;63,38;224,25;253,50;9,75;117,00;195,00;546,00;936,00;130,00;325,00
2022-09-25;28,00;9,00;11,00;4,00;9,00;14,00;5,00;10,00;17,00;18,00;15,00;23,00;35,00;25,00;27,00;142,80;184,80;25,20;103,60;67,20;218,40;44,80;33,60;88,67;46,67;79,33;196,00;336,00;14,00;140,00;224,00;588,00;798,00;126,00;280,00
2022-10-02;40,00;22,00;10,00;0,00;9,00;5,00;13,00;0,00;20,00;26,00;7,00;17,00;40,00;12,00;16,00;128,00;165,33;13,33;74,67;60,00;160,00;50,00;10,00;90,00;65,00;95,00;210,00;260,00;0,00;100,00;160,00;520,00;706,67;146,67;266,67
2022-10-09;45,00;21,00;6,00;0,00;17,00;0,00;17,00;0,00;20,00;16,00;13,00;33,00;35,00;0,00;29,00;135,00;182,81;36,56;115,31;75,00;145,00;55,00;15,00;70,00;55,00;85,00;220,00;247,50;0,00;135,00;157,50;461,25;607,50;123,75;258,75
2022-10-16;40,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;13,00;14,00;7,00;29,00;34,00;0,00;12,00;101,33;138,67;32,00;66,67;65,00;150,00;30,00;30,00;75,00;45,00;95,00;205,00;220,00;10,00;140,00;180,00;520,00;693,33;133,33;226,67
2022-10-23;19,00;6,00;0,00;0,00;5,00;0,00;9,00;9,00;14,00;16,00;0,00;25,00;39,00;15,00;18,00;97,71;138,43;16,29;92,29;57,00;133,00;95,00;14,25;71,25;38,00;66,50;175,75;190,00;0,00;114,00;152,00;361,00;484,50;114,00;152,00
2022-10-30;27,00;26,00;0,00;0,00;10,00;7,00;12,00;0,00;21,00;13,00;11,00;22,00;33,00;15,00;20,00;75,60;143,10;21,60;91,80;64,80;140,40;43,20;32,40;58,50;54,00;63,00;189,00;270,00;13,50;135,00;162,00;499,50;702,00;108,00;243,00
2022-11-06;23,00;17,00;0,00;12,00;8,00;0,00;5,00;7,00;9,00;28,00;13,00;33,00;44,00;17,00;18,00;117,88;140,88;25,88;83,38;57,50;126,50;34,50;17,25;73,60;32,20;69,00;179,40;207,00;23,00;115,00;115,00;460,00;563,50;103,50;172,50
2022-11-13;24,00;14,00;0,00;7,00;8,00;9,00;10,00;5,00;12,00;16,00;12,00;18,00;24,00;15,00;20,00;72,00;157,33;10,67;69,33;38,40;124,80;52,80;24,00;62,40;48,00;62,40;480,00;216,00;0,00;120,00;168,00;420,00;636,00;240,00;180,00
2022-11-20;22,00;16,00;7,00;0,00;0,00;7,00;0,00;0,00;14,00;16,00;11,00;26,00;38,00;13,00;6,00;93,50;126,50;19,25;96,25;38,50;137,50;38,50;11,00;39,60;57,20;79,20;158,40;198,00;0,00;88,00;110,00;341,00;539,00;110,00;143,00
2022-11-27;33,00;14,00;0,00;0,00;5,00;4,00;11,00;8,00;14,00;22,00;11,00;21,00;29,00;16,00;17,00;77,00;121,00;16,50;99,00;49,50;126,50;44,00;22,00;61,29;51,86;75,43;155,57;330,00;16,50;132,00;198,00;363,00;550,00;110,00;132,00
2022-12-04;34,00;18,00;6,00;0,00;9,00;0,00;13,00;0,00;8,00;26,00;25,00;24,00;40,00;19,00;19,00;82,17;144,50;25,50;68,00;63,14;111,71;38,86;24,29;53,43;34,00;82,57;155,43;340,00;17,00;170,00;204,00;374,00;555,33;90,67;158,67
2022-12-11;37,00;9,00;0,00;0,00;13,00;0,00;12,00;0,00;9,00;15,00;13,00;18,00;33,00;13,00;12,00;68,71;145,36;13,21;100,43;47,57;105,71;68,71;26,43;55,50;74,00;69,38;198,88;166,50;9,25;74,00;111,00;444,00;715,33;98,67;197,33
2022-12-18;17,00;16,00;7,00;0,00;0,00;5,00;0,00;0,00;12,00;21,00;18,00;19,00;31,00;25,00;32,00;90,67;116,17;22,67;150,17;62,33;130,33;39,67;17,00;55,25;42,50;72,25;165,75;153,00;17,00;85,00;102,00;340,00;476,00;85,00;136,00
2022-12-25;40,00;13,00;10,00;0,00;6,00;5,00;6,00;11,00;5,00;20,00;15,00;23,00;58,00;38,00;41,00;136,00;157,33;32,00;122,67;65,00;155,00;40,00;25,00;105,00;70,00;100,00;225,00;260,00;20,00;140,00;140,00;430,00;680,00;100,00;210,00
2023-01-01;54,00;0,00;0,00;6,00;11,00;5,00;0,00;8,00;22,00;21,00;19,00;33,00;56,00;28,00;34,00;145,80;207,90;21,60;105,30;68,73;211,09;54,00;24,55;93,27;63,82;117,82;230,73;432,00;27,00;162,00;270,00;583,20;745,20;140,40;226,80
2023-01-08;80,00;22,00;5,00;6,00;10,00;9,00;12,00;9,00;22,00;30,00;25,00;35,00;61,00;25,00;45,00;149,33;197,33;40,00;106,67;65,00;210,00;45,00;25,00;75,29;75,29;103,53;230,59;360,00;10,00;120,00;200,00;640,00;777,14;148,57;297,14
2023-01-15;63,00;14,00;5,00;0,00;30,00;5,00;15,00;11,00;28,00;25,00;18,00;46,00;37,00;20,00;36,00;169,83;238,30;32,87;93,13;47,25;204,75;47,25;36,75;77,54;63,00;101,77;237,46;336,00;10,50;168,00;210,00;546,00;724,50;136,50;241,50
2023-01-22;71,00;22,00;7,00;7,00;19,00;12,00;5,00;0,00;13,00;19,00;11,00;53,00;64,00;15,00;24,00;158,38;213,00;24,58;133,81;55,79;233,29;60,86;25,36;85,20;56,80;108,87;231,93;426,00;11,83;118,33;260,33;615,33;828,33;142,00;307,67
2023-01-29;63,00;9,00;8,00;8,00;4,00;8,00;13,00;0,00;18,00;36,00;0,00;44,00;40,00;18,00;11,00;202,70;194,48;49,30;90,39;57,75;220,50;47,25;21,00;53,31;58,15;106,62;198,69;357,00;10,50;126,00;210,00;556,50;672,00;115,50;283,50
2023-02-05;74,00;0,00;0,00;11,00;19,00;6,00;12,00;0,00;25,00;35,00;23,00;36,00;58,00;0,00;28,00;191,85;186,37;35,63;109,63;74,00;248,43;58,14;21,14;74,00;59,20;88,80;286,13;419,33;12,33;172,67;246,67;629,00;789,33;135,67;296,00
2023-02-12;64,00;5,00;0,00;0,00;14,00;12,00;4,00;0,00;24,00;16,00;15,00;30,00;39,00;61,00;34,00;194,67;176,00;29,33;112,00;69,33;234,67;74,67;21,33;68,92;83,69;108,31;182,15;384,00;10,67;128,00;213,33;512,00;682,67;138,67;277,33
2023-02-19;65,00;12,00;0,00;15,00;22,00;6,00;11,00;4,00;19,00;32,00;16,00;43,00;42,00;41,00;36,00;195,00;230,21;32,50;94,79;75,00;330,00;50,00;10,00;85,00;70,00;125,00;165,00;455,00;10,83;151,67;260,00;595,83;780,00;119,17;314,17
2023-02-26;75,00;18,00;0,00;8,00;9,00;12,00;6,00;10,00;22,00;28,00;13,00;41,00;39,00;20,00;37,00;219,64;184,82;32,14;120,54;55,00;305,00;45,00;20,00;75,00;80,00;125,00;200,00;475,00;12,50;175,00;300,00;578,57;792,86;150,00;257,14
2023-03-05;83,00;6,00;5,00;12,00;17,00;4,00;6,00;6,00;23,00;31,00;26,00;43,00;37,00;26,00;23,00;192,77;214,19;40,16;123,16;88,19;259,38;57,06;25,94;78,12;68,35;122,06;161,12;435,75;10,38;145,25;228,25;652,14;841,86;154,14;332,00
2023-03-12;66,00;11,00;9,00;6,00;21,00;0,00;13,00;5,00;25,00;22,00;15,00;52,00;47,00;28,00;37,00;198,00;220,00;52,25;112,75;86,31;223,38;71,08;25,38;75,43;61,29;113,14;216,86;418,00;22,00;154,00;264,00;594,00;770,00;132,00;319,00
2023-03-19;77,00;13,00;0,00;0,00;13,00;0,00;6,00;4,00;28,00;30,00;22,00;36,00;50,00;14,00;29,00;178,75;261,25;24,75;101,75;87,27;236,13;46,20;15,40;91,44;86,63;144,38;178,06;590,33;25,67;205,33;308,00;638,00;781,00;165,00;352,00
2023-03-26;65,00;28,00;8,00;0,00;0,00;6,00;4,00;10,00;29,00;26,00;10,00;42,00;58,00;24,00;38,00;176,04;230,21;48,75;124,58;55,00;250,00;40,00;15,00;75,00;70,00;130,00;220,00;433,33;10,83;195,00;216,67;585,00;671,67;130,00;314,17
2023-04-02;80,00;24,00;0,00;9,00;15,00;9,00;0,00;16,00;14,00;12,00;10,00;42,00;63,00;13,00;60,00;184,83;206,90;30,34;113,10;70,00;195,00;60,00;10,00;90,00;50,00;115,00;200,00;380,00;10,00;140,00;180,00;640,00;720,00;137,14;308,57
2023-04-09;77,00;21,00;0,00;5,00;12,00;13,00;12,00;12,00;40,00;24,00;26,00;47,00;50,00;31,00;23,00;200,75;203,50;16,50;126,50;82,13;236,13;46,20;20,53;96,25;67,38;115,50;173,25;487,67;0,00;179,67;256,67;572,00;704,00;132,00;341,00
2023-04-16;68,00;19,00;8,00;7,00;14,00;5,00;5,00;16,00;17,00;24,00;16,00;35,00;58,00;23,00;20,00;247,52;201,28;16,32;103,36;88,92;235,38;57,54;15,69;72,86;53,43;126,29;228,29;408,00;11,33;181,33;272,00;544,00;759,33;136,00;895,33
2023-04-23;77,00;7,00;5,00;0,00;11,00;17,00;0,00;6,00;13,00;32,00;25,00;42,00;38,00;40,00;38,00;228,34;185,86;31,86;106,21;77,00;220,73;51,33;20,53;86,63;86,63;105,88;221,38;513,33;12,83;1283,33;282,33;550,00;759,00;132,00;440,00
2023-04-30;80,00;17,00;4,00;7,00;7,00;9,00;9,00;6,00;27,00;33,00;21,00;31,00;54,00;23,00;26,00;240,00;209,66;22,07;129,66;90,00;245,00;35,00;15,00;90,00;75,00;120,00;240,00;380,00;20,00;1620,00;240,00;617,14;754,29;125,71;320,00
2023-05-07;80,00;24,00;4,00;10,00;16,00;0,00;16,00;0,00;0,00;23,00;25,00;27,00;56,00;43,00;25,00;248,28;201,38;46,90;129,66;75,00;205,00;60,00;15,00;85,00;70,00;130,00;200,00;420,00;10,00;340,00;200,00;548,57;720,00;137,14;354,29
2023-05-14;75,00;14,00;0,00;6,00;9,00;13,00;9,00;15,00;12,00;27,00;15,00;46,00;52,00;43,00;46,00;219,64;230,36;24,11;104,46;70,00;245,00;50,00;20,00;65,00;75,00;80,00;240,00;650,00;0,00;225,00;200,00;535,71;685,71;107,14;321,43
2023-05-21;87,00;23,00;0,00;8,00;17,00;0,00;5,00;6,00;46,00;20,00;11,00;39,00;47,00;20,00;40,00;239,25;168,56;19,03;116,91;92,12;266,12;35,82;25,59;87,00;58,00;135,33;188,50;435,00;10,88;152,25;217,50;543,75;728,63;119,63;293,63
2023-05-28;84,00;29,00;7,00;0,00;18,00;11,00;12,00;0,00;21,00;9,00;11,00;41,00;46,00;26,00;26,00;222,19;200,52;37,94;108,39;89,25;246,75;63,00;31,50;98,82;84,00;118,59;227,29;441,00;10,50;147,00;252,00;612,00;732,00;168,00;360,00
2023-06-04;91,00;24,00;0,00;6,00;23,00;8,00;6,00;6,00;29,00;12,00;19,00;50,00;63,00;29,00;21,00;200,74;195,38;26,76;117,76;75,83;212,33;55,61;20,22;114,95;76,63;119,74;220,32;477,75;22,75;136,50;227,50;568,75;659,75;147,88;352,63
2023-06-11;81,00;12,00;9,00;0,00;14,00;0,00;0,00;9,00;17,00;29,00;14,00;46,00;44,00;25,00;41,00;234,90;197,10;29,70;159,30;75,94;237,94;65,81;20,25;61,94;57,18;104,82;209,65;384,75;20,25;162,00;222,75;567,00;694,29;127,29;335,57
