Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2020-01-05;19,00;80,75;24,00;14,00;89,00;27,00
2020-01-12;22,00;60,50;24,00;16,00;74,00;31,00
2020-01-19;22,00;68,20;22,00;14,00;82,00;29,00
2020-01-26;20,00;62,22;22,00;10,00;66,00;22,00
2020-02-02;17,00;56,67;18,00;9,00;76,00;24,00
2020-02-09;16,00;69,71;21,00;10,00;65,00;24,00
2020-02-16;13,00;61,75;17,00;10,00;65,00;27,00
2020-02-23;7,00;65,33;16,00;9,00;65,00;21,00
2020-03-01;11,00;53,90;15,00;9,00;74,00;14,00
2020-03-08;13,00;55,25;23,00;6,00;100,00;18,00
2020-03-15;6,00;52,80;11,00;8,00;55,00;7,00
2020-03-22;3,00;46,50;3,00;2,00;19,00;4,00
2020-03-29;4,00;23,00;6,00;1,00;16,00;5,00
2020-04-05;3,00;24,00;4,00;3,00;13,00;5,00
2020-04-12;0,00;20,00;5,00;1,00;14,00;5,00
2020-04-19;3,00;21,00;4,00;2,00;12,00;4,00
2020-04-26;6,00;25,20;6,00;6,00;14,00;5,00
2020-05-03;7,00;23,33;9,00;2,00;15,00;6,00
2020-05-10;2,00;18,00;5,00;2,00;12,00;5,00
2020-05-17;3,00;20,00;4,00;1,00;13,00;5,00
2020-05-24;3,00;25,50;4,00;3,00;12,00;4,00
2020-05-31;4,00;29,33;8,00;3,00;23,00;10,00
2020-06-07;3,00;19,00;9,00;3,00;17,00;7,00
2020-06-14;3,00;33,00;7,00;2,00;17,00;6,00
2020-06-21;3,00;23,00;7,00;2,00;14,00;5,00
2020-06-28;1,00;18,00;6,00;5,00;15,00;8,00
2020-07-05;3,00;27,00;5,00;2,00;16,00;3,00
2020-07-12;5,00;43,75;2,00;4,00;16,00;5,00
2020-07-19;4,00;45,33;4,00;2,00;20,00;5,00
2020-07-26;3,00;63,00;8,00;5,00;18,00;8,00
2020-08-02;2,00;28,00;9,00;2,00;18,00;5,00
2020-08-09;3,00;28,00;6,00;2,00;19,00;7,00
2020-08-16;4,00;30,00;6,00;3,00;18,00;3,00
2020-08-23;5,00;23,00;7,00;4,00;13,00;5,00
2020-08-30;4,00;23,00;3,00;1,00;15,00;6,00
2020-09-06;4,00;25,00;6,00;4,00;13,00;4,00
2020-09-13;1,00;37,00;7,00;4,00;16,00;7,00
2020-09-20;3,00;30,00;5,00;0,00;17,00;7,00
2020-09-27;3,00;25,00;4,00;0,00;17,00;3,00
2020-10-04;4,00;26,00;6,00;4,00;10,00;6,00
2020-10-11;4,00;38,67;7,00;3,00;18,00;5,00
2020-10-18;2,00;29,00;7,00;4,00;17,00;6,00
2020-10-25;5,00;24,00;4,00;4,00;17,00;7,00
2020-11-01;2,00;23,00;3,00;2,00;17,00;5,00
2020-11-08;4,00;27,00;4,00;5,00;15,00;4,00
2020-11-15;3,00;45,00;6,00;2,00;23,00;5,00
2020-11-22;5,00;31,25;5,00;1,00;19,00;5,00
2020-11-29;4,00;35,00;7,00;3,00;18,00;7,00
2020-12-06;3,00;26,00;7,00;4,00;19,00;6,00
2020-12-13;4,00;44,00;6,00;4,00;18,00;4,00
2020-12-20;4,00;40,00;6,00;4,00;20,00;5,00
2020-12-27;6,00;70,80;7,00;5,00;30,00;12,00
2021-01-03;8,00;54,86;7,00;1,00;21,00;6,00
2021-01-10;4,00;41,33;4,00;5,00;19,00;6,00
2021-01-17;3,00;32,00;6,00;4,00;14,00;6,00
2021-01-24;3,00;49,50;5,00;6,00;16,00;2,00
2021-01-31;4,00;30,67;2,00;2,00;16,00;3,00
2021-02-07;4,00;30,67;5,00;2,00;17,00;8,00
2021-02-14;2,00;22,00;7,00;2,00;17,00;3,00
2021-02-21;1,00;22,00;6,00;1,00;12,00;5,00
2021-02-28;2,00;22,00;3,00;3,00;16,00;3,00
2021-03-07;2,00;26,00;4,00;4,00;11,00;3,00
2021-03-14;3,00;39,00;5,00;2,00;15,00;5,00
2021-03-21;2,00;24,00;7,00;4,00;19,00;7,00
2021-03-28;3,00;17,00;4,00;3,00;18,00;7,00
2021-04-04;6,00;28,00;3,00;2,00;19,00;7,00
2021-04-11;4,00;34,67;4,00;3,00;12,00;6,00
2021-04-18;0,00;17,00;5,00;2,00;17,00;4,00
2021-04-25;6,00;26,40;4,00;4,00;15,00;7,00
2021-05-02;4,00;25,00;4,00;6,00;16,00;4,00
2021-05-09;4,00;22,00;6,00;3,00;16,00;8,00
2021-05-16;5,00;28,75;7,00;2,00;19,00;8,00
2021-05-23;4,00;26,67;4,00;5,00;17,00;7,00
2021-05-30;3,00;21,00;3,00;3,00;19,00;8,00
2021-06-06;5,00;28,75;4,00;3,00;26,00;9,00
2021-06-13;8,00;30,86;10,00;7,00;25,00;8,00
2021-06-20;8,00;29,71;10,00;3,00;29,00;9,00
2021-06-27;7,00;39,67;9,00;6,00;29,00;9,00
2021-07-04;7,00;36,17;5,00;5,00;30,00;7,00
2021-07-11;12,00;34,91;11,00;6,00;25,00;9,00
2021-07-18;7,00;42,00;9,00;5,00;34,00;9,00
2021-07-25;5,00;32,00;9,00;5,00;41,00;8,00
2021-08-01;9,00;38,25;13,00;7,00;32,00;9,00
2021-08-08;4,00;29,00;9,00;3,00;33,00;9,00
2021-08-15;5,00;27,00;9,00;3,00;37,00;6,00
2021-08-22;3,00;57,00;7,00;5,00;34,00;5,00
2021-08-29;5,00;33,75;6,00;6,00;26,00;10,00
2021-09-05;7,00;32,67;6,00;4,00;29,00;6,00
2021-09-12;3,00;45,00;4,00;6,00;31,00;10,00
2021-09-19;4,00;44,00;4,00;6,00;31,00;10,00
2021-09-26;5,00;37,50;7,00;4,00;37,00;11,00
2021-10-03;7,00;35,00;7,00;4,00;39,00;12,00
2021-10-10;6,00;45,60;7,00;9,00;38,00;8,00
2021-10-17;6,00;45,60;7,00;5,00;53,00;10,00
2021-10-24;7,00;45,50;13,00;9,00;43,00;8,00
2021-10-31;10,00;46,67;14,00;5,00;46,00;14,00
2021-11-07;8,00;44,57;14,00;8,00;46,00;11,00
2021-11-14;10,00;33,33;22,00;9,00;50,00;12,00
2021-11-21;9,00;42,75;20,00;8,00;49,00;9,00
2021-11-28;8,00;114,29;15,00;5,00;46,00;10,00
2021-12-05;7,00;39,00;12,00;4,00;43,00;11,00
2021-12-12;4,00;46,67;8,00;2,00;43,00;12,00
2021-12-19;4,00;40,00;8,00;4,00;37,00;9,00
2021-12-26;6,00;46,80;11,00;7,00;39,00;9,00
2022-01-02;7,00;50,17;7,00;7,00;47,00;8,00
2022-01-09;6,00;51,60;12,00;4,00;43,00;11,00
2022-01-16;9,00;54,00;13,00;5,00;40,00;12,00
2022-01-23;4,00;45,00;10,00;5,00;47,00;13,00
2022-01-30;10,00;52,22;12,00;7,00;55,00;15,00
2022-02-06;8,00;57,14;13,00;7,00;52,00;15,00
2022-02-13;8,00;61,71;16,00;8,00;66,00;20,00
2022-02-20;8,00;74,29;19,00;7,00;72,00;21,00
2022-02-27;14,00;60,67;19,00;8,00;67,00;20,00
2022-03-06;10,00;63,33;14,00;7,00;66,00;17,00
2022-03-13;12,00;60,00;14,00;8,00;64,00;22,00
2022-03-20;14,00;59,50;17,00;9,00;60,00;19,00
2022-03-27;11,00;64,90;16,00;6,00;60,00;19,00
2022-04-03;10,00;53,33;16,00;4,00;53,00;14,00
2022-04-10;9,00;59,63;17,00;4,00;51,00;15,00
2022-04-17;10,00;50,00;14,00;5,00;48,00;17,00
2022-04-24;13,00;46,09;10,00;5,00;52,00;13,00
2022-05-01;11,00;45,22;11,00;4,00;42,00;12,00
2022-05-08;10,00;38,75;11,00;6,00;40,00;10,00
2022-05-15;6,00;30,00;12,00;5,00;29,00;8,00
2022-05-22;10,00;33,33;12,00;6,00;36,00;7,00
2022-05-29;7,00;29,00;10,00;3,00;31,00;7,00
2022-06-05;9,00;30,38;10,00;4,00;30,00;9,00
2022-06-12;8,00;34,29;12,00;6,00;37,00;9,00
2022-06-19;7,00;31,50;12,00;5,00;34,00;12,00
2022-06-26;6,00;33,60;13,00;7,00;44,00;11,00
2022-07-03;8,00;43,43;11,00;5,00;32,00;8,00
2022-07-10;8,00;32,00;12,00;5,00;37,00;9,00
2022-07-17;6,00;36,00;11,00;2,00;33,00;11,00
2022-07-24;9,00;36,00;11,00;0,00;40,00;8,00
2022-07-31;8,00;38,86;11,00;6,00;38,00;12,00
2022-08-07;7,00;35,00;11,00;6,00;37,00;11,00
2022-08-14;13,00;44,42;14,00;4,00;50,00;12,00
2022-08-21;10,00;35,56;13,00;5,00;47,00;11,00
2022-08-28;11,00;38,50;17,00;7,00;42,00;14,00
2022-09-04;7,00;38,50;14,00;6,00;44,00;13,00
2022-09-11;30,00;41,11;14,00;4,00;39,00;11,00
2022-09-18;19,00;39,12;15,00;3,00;53,00;14,00
2022-09-25;18,00;37,13;18,00;6,00;40,00;13,00
2022-10-02;15,00;35,36;15,00;5,00;42,00;12,00
2022-10-09;15,00;50,77;15,00;6,00;45,00;10,00
2022-10-16;18,00;43,88;13,00;6,00;48,00;13,00
2022-10-23;14,00;49,00;18,00;5,00;49,00;16,00
2022-10-30;12,00;60,00;14,00;6,00;59,00;16,00
2022-11-06;12,00;54,55;17,00;8,00;51,00;20,00
2022-11-13;17,00;46,47;22,00;6,00;60,00;15,00
2022-11-20;14,00;39,85;12,00;6,00;59,00;20,00
2022-11-27;17,00;48,73;19,00;4,00;62,00;17,00
2022-12-04;11,00;40,70;19,00;6,00;59,00;17,00
2022-12-11;11,00;47,30;17,00;8,00;56,00;13,00
2022-12-18;11,00;51,33;19,00;8,00;47,00;12,00
2022-12-25;15,00;64,29;22,00;7,00;88,00;19,00
2023-01-01;20,00;77,78;24,00;6,00;87,00;17,00
2023-01-08;23,00;70,10;28,00;12,00;89,00;23,00
2023-01-15;16,00;69,71;27,00;11,00;99,00;27,00
2023-01-22;20,00;60,00;24,00;10,00;85,00;23,00
2023-01-29;19,00;62,59;25,00;11,00;75,00;22,00
2023-02-05;16,00;62,86;27,00;9,00;77,00;20,00
2023-02-12;16,00;69,33;22,00;6,00;73,00;19,00
2023-02-19;14,00;71,17;23,00;9,00;71,00;21,00
2023-02-26;18,00;64,13;26,00;11,00;71,00;17,00
2023-03-05;19,00;57,00;25,00;8,00;72,00;18,00
2023-03-12;14,00;60,67;24,00;6,00;71,00;17,00
2023-03-19;15,00;56,54;23,00;2,00;61,00;22,00
2023-03-26;13,00;47,67;18,00;8,00;53,00;13,00
2023-04-02;12,00;44,73;21,00;10,00;59,00;15,00
2023-04-09;14,00;49,00;18,00;6,00;44,00;15,00
2023-04-16;7,00;37,00;16,00;7,00;47,00;8,00
2023-04-23;11,00;42,90;17,00;1,00;50,00;13,00
2023-04-30;11,00;37,89;21,00;4,00;43,00;13,00
2023-05-07;10,00;35,56;14,00;6,00;37,00;11,00
2023-05-14;13,00;35,45;14,00;2,00;37,00;9,00
2023-05-21;13,00;35,75;12,00;4,00;37,00;11,00
2023-05-28;8,00;36,57;8,00;6,00;38,00;13,00
2023-06-04;9,00;29,25;14,00;3,00;38,00;13,00
2023-06-11;6,00;40,80;12,00;7,00;35,00;11,00
