Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;23,00;33,00;26,00;59,00;0,00;3,00;0,00;7,00;2,00
2020-01-12;23,00;32,00;23,00;59,00;0,00;3,00;0,00;4,00;6,00
2020-01-19;14,00;35,00;28,00;79,00;3,00;0,00;3,00;2,00;4,00
2020-01-26;10,00;37,00;16,00;45,00;0,00;0,00;16,00;3,00;2,00
2020-02-02;18,00;27,00;15,00;43,00;2,00;3,00;11,00;4,00;2,00
2020-02-09;20,00;24,00;10,00;47,00;0,00;2,00;2,00;0,00;0,00
2020-02-16;18,00;28,00;15,00;54,00;4,00;0,00;0,00;3,00;3,00
2020-02-23;12,00;46,00;12,00;43,00;0,00;0,00;6,00;5,00;2,00
2020-03-01;19,00;29,00;12,00;42,00;0,00;0,00;12,00;2,00;2,00
2020-03-08;11,00;25,00;12,00;47,00;0,00;4,00;2,00;0,00;3,00
2020-03-15;12,00;32,00;14,00;21,00;0,00;0,00;9,00;4,00;3,00
2020-03-22;10,00;11,00;8,00;25,00;0,00;2,00;6,00;0,00;0,00
2020-03-29;14,00;16,00;8,00;22,00;3,00;3,00;0,00;12,00;4,00
2020-04-05;21,00;11,00;0,00;26,00;0,00;0,00;4,00;5,00;0,00
2020-04-12;14,00;3,00;5,00;35,00;0,00;2,00;4,00;0,00;2,00
2020-04-19;10,00;11,00;6,00;19,00;3,00;3,00;7,00;3,00;3,00
2020-04-26;9,00;13,00;3,00;12,00;0,00;3,00;7,00;6,00;0,00
2020-05-03;10,00;7,00;8,00;29,00;0,00;3,00;10,00;2,00;6,00
2020-05-10;8,00;8,00;7,00;37,00;0,00;0,00;8,00;3,00;5,00
2020-05-17;22,00;12,00;6,00;26,00;0,00;0,00;4,00;3,00;10,00
2020-05-24;11,00;14,00;4,00;25,00;3,00;0,00;5,00;0,00;3,00
2020-05-31;15,00;14,00;7,00;36,00;3,00;2,00;3,00;2,00;0,00
2020-06-07;19,00;14,00;2,00;28,00;0,00;0,00;3,00;4,00;4,00
2020-06-14;100,00;10,00;6,00;33,00;0,00;0,00;4,00;2,00;0,00
2020-06-21;16,00;8,00;9,00;27,00;0,00;0,00;5,00;0,00;3,00
2020-06-28;13,00;15,00;4,00;28,00;6,00;2,00;7,00;5,00;0,00
2020-07-05;22,00;14,00;4,00;34,00;2,00;0,00;6,00;2,00;3,00
2020-07-12;14,00;10,00;2,00;33,00;0,00;0,00;0,00;3,00;6,00
2020-07-19;15,00;9,00;4,00;22,00;3,00;3,00;3,00;3,00;3,00
2020-07-26;10,00;7,00;6,00;28,00;0,00;5,00;4,00;6,00;0,00
2020-08-02;14,00;6,00;4,00;26,00;4,00;6,00;4,00;2,00;2,00
2020-08-09;10,00;5,00;6,00;37,00;0,00;4,00;3,00;3,00;2,00
2020-08-16;15,00;16,00;7,00;36,00;0,00;5,00;0,00;2,00;0,00
2020-08-23;10,00;17,00;2,00;39,00;3,00;0,00;0,00;0,00;2,00
2020-08-30;12,00;19,00;6,00;37,00;4,00;0,00;0,00;0,00;2,00
2020-09-06;33,00;17,00;7,00;50,00;0,00;5,00;4,00;5,00;5,00
2020-09-13;8,00;15,00;8,00;37,00;0,00;0,00;2,00;2,00;3,00
2020-09-20;8,00;16,00;0,00;30,00;6,00;10,00;11,00;2,00;7,00
2020-09-27;11,00;14,00;5,00;39,00;0,00;0,00;0,00;3,00;3,00
2020-10-04;12,00;10,00;5,00;24,00;0,00;7,00;0,00;4,00;6,00
2020-10-11;14,00;10,00;4,00;36,00;0,00;6,00;0,00;3,00;0,00
2020-10-18;10,00;13,00;2,00;19,00;0,00;0,00;0,00;4,00;6,00
2020-10-25;8,00;9,00;5,00;14,00;0,00;0,00;0,00;0,00;3,00
2020-11-01;10,00;10,00;5,00;12,00;0,00;6,00;0,00;0,00;2,00
2020-11-08;13,00;5,00;0,00;24,00;0,00;0,00;5,00;3,00;0,00
2020-11-15;16,00;6,00;5,00;16,00;2,00;6,00;2,00;3,00;4,00
2020-11-22;12,00;9,00;10,00;16,00;0,00;0,00;2,00;0,00;5,00
2020-11-29;6,00;5,00;10,00;20,00;3,00;0,00;3,00;0,00;0,00
2020-12-06;8,00;11,00;7,00;19,00;0,00;2,00;5,00;0,00;3,00
2020-12-13;8,00;18,00;5,00;49,00;0,00;0,00;5,00;13,00;3,00
2020-12-20;12,00;25,00;9,00;48,00;0,00;4,00;3,00;7,00;0,00
2020-12-27;20,00;18,00;20,00;42,00;0,00;8,00;2,00;0,00;0,00
2021-01-03;11,00;9,00;12,00;40,00;0,00;5,00;7,00;2,00;0,00
2021-01-10;23,00;19,00;9,00;29,00;2,00;12,00;5,00;0,00;0,00
2021-01-17;9,00;13,00;7,00;35,00;5,00;2,00;7,00;0,00;2,00
2021-01-24;10,00;14,00;8,00;35,00;0,00;3,00;2,00;3,00;3,00
2021-01-31;14,00;19,00;8,00;35,00;0,00;5,00;4,00;4,00;2,00
2021-02-07;14,00;22,00;5,00;52,00;0,00;2,00;0,00;0,00;0,00
2021-02-14;9,00;17,00;7,00;24,00;0,00;4,00;4,00;2,00;8,00
2021-02-21;16,00;12,00;8,00;13,00;0,00;0,00;4,00;2,00;0,00
2021-02-28;16,00;11,00;7,00;30,00;4,00;2,00;4,00;2,00;5,00
2021-03-07;14,00;10,00;10,00;22,00;0,00;0,00;6,00;2,00;3,00
2021-03-14;8,00;11,00;5,00;28,00;0,00;2,00;4,00;3,00;2,00
2021-03-21;11,00;7,00;5,00;23,00;3,00;0,00;0,00;3,00;0,00
2021-03-28;9,00;7,00;0,00;29,00;5,00;2,00;0,00;5,00;0,00
2021-04-04;17,00;12,00;7,00;18,00;0,00;2,00;3,00;7,00;0,00
2021-04-11;17,00;14,00;6,00;21,00;0,00;2,00;14,00;0,00;3,00
2021-04-18;12,00;3,00;9,00;21,00;0,00;0,00;3,00;5,00;10,00
2021-04-25;6,00;10,00;5,00;19,00;0,00;2,00;2,00;3,00;2,00
2021-05-02;12,00;0,00;7,00;21,00;2,00;0,00;0,00;3,00;2,00
2021-05-09;9,00;10,00;8,00;22,00;0,00;0,00;0,00;4,00;0,00
2021-05-16;10,00;11,00;6,00;19,00;2,00;0,00;0,00;0,00;0,00
2021-05-23;13,00;10,00;13,00;26,00;4,00;0,00;0,00;2,00;4,00
2021-05-30;14,00;11,00;9,00;33,00;4,00;0,00;0,00;0,00;3,00
2021-06-06;20,00;17,00;8,00;28,00;0,00;2,00;5,00;4,00;3,00
2021-06-13;19,00;12,00;11,00;27,00;0,00;3,00;9,00;0,00;0,00
2021-06-20;17,00;7,00;12,00;30,00;4,00;3,00;30,00;0,00;4,00
2021-06-27;16,00;18,00;8,00;31,00;7,00;3,00;3,00;6,00;0,00
2021-07-04;25,00;15,00;10,00;31,00;0,00;2,00;10,00;3,00;3,00
2021-07-11;14,00;18,00;9,00;34,00;0,00;5,00;0,00;6,00;0,00
2021-07-18;26,00;18,00;5,00;27,00;3,00;5,00;0,00;0,00;0,00
2021-07-25;25,00;14,00;11,00;23,00;6,00;0,00;3,00;3,00;0,00
2021-08-01;16,00;17,00;11,00;30,00;5,00;0,00;0,00;0,00;4,00
2021-08-08;32,00;19,00;10,00;32,00;0,00;3,00;7,00;0,00;4,00
2021-08-15;49,00;13,00;9,00;32,00;3,00;3,00;0,00;4,00;4,00
2021-08-22;28,00;17,00;9,00;34,00;0,00;12,00;3,00;4,00;0,00
2021-08-29;14,00;13,00;7,00;39,00;3,00;0,00;5,00;6,00;0,00
2021-09-05;11,00;13,00;8,00;40,00;2,00;5,00;0,00;5,00;2,00
2021-09-12;15,00;16,00;8,00;30,00;0,00;0,00;0,00;4,00;2,00
2021-09-19;2,00;22,00;12,00;53,00;0,00;0,00;2,00;3,00;0,00
2021-09-26;10,00;16,00;8,00;38,00;0,00;0,00;2,00;4,00;0,00
2021-10-03;8,00;15,00;4,00;37,00;8,00;2,00;13,00;2,00;0,00
2021-10-10;11,00;22,00;23,00;50,00;0,00;2,00;4,00;6,00;0,00
2021-10-17;13,00;23,00;19,00;39,00;2,00;2,00;5,00;7,00;0,00
2021-10-24;20,00;23,00;9,00;35,00;3,00;0,00;10,00;11,00;3,00
2021-10-31;26,00;17,00;11,00;40,00;0,00;3,00;3,00;8,00;0,00
2021-11-07;10,00;18,00;11,00;44,00;0,00;3,00;6,00;4,00;0,00
2021-11-14;8,00;14,00;10,00;35,00;6,00;0,00;6,00;9,00;0,00
2021-11-21;27,00;42,00;9,00;31,00;2,00;0,00;4,00;5,00;9,00
2021-11-28;12,00;32,00;13,00;30,00;0,00;0,00;3,00;0,00;5,00
2021-12-05;9,00;17,00;12,00;37,00;0,00;4,00;2,00;6,00;0,00
2021-12-12;17,00;19,00;16,00;31,00;0,00;0,00;5,00;5,00;13,00
2021-12-19;12,00;13,00;18,00;41,00;3,00;5,00;6,00;7,00;0,00
2021-12-26;17,00;20,00;11,00;46,00;0,00;5,00;3,00;8,00;6,00
2022-01-02;25,00;24,00;16,00;44,00;3,00;18,00;0,00;0,00;4,00
2022-01-09;13,00;21,00;10,00;39,00;5,00;8,00;0,00;7,00;3,00
2022-01-16;17,00;22,00;11,00;47,00;0,00;4,00;0,00;4,00;3,00
2022-01-23;24,00;13,00;10,00;43,00;0,00;2,00;6,00;11,00;8,00
2022-01-30;17,00;22,00;17,00;46,00;6,00;5,00;0,00;19,00;0,00
2022-02-06;17,00;15,00;15,00;39,00;0,00;0,00;3,00;10,00;3,00
2022-02-13;19,00;19,00;12,00;44,00;0,00;2,00;3,00;6,00;7,00
2022-02-20;19,00;23,00;14,00;41,00;0,00;4,00;2,00;9,00;2,00
2022-02-27;11,00;13,00;10,00;34,00;3,00;4,00;5,00;4,00;2,00
2022-03-06;6,00;20,00;14,00;31,00;3,00;4,00;3,00;16,00;4,00
2022-03-13;14,00;17,00;8,00;34,00;2,00;5,00;0,00;4,00;4,00
2022-03-20;20,00;18,00;13,00;35,00;0,00;4,00;5,00;5,00;7,00
2022-03-27;18,00;18,00;10,00;41,00;0,00;6,00;3,00;6,00;2,00
2022-04-03;18,00;21,00;15,00;41,00;0,00;10,00;6,00;3,00;1,00
2022-04-10;15,00;12,00;9,00;38,00;3,00;0,00;4,00;4,00;2,00
2022-04-17;7,00;20,00;11,00;82,00;0,00;0,00;6,00;0,00;0,00
2022-04-24;14,00;18,00;13,00;39,00;3,00;6,00;5,00;4,00;4,00
2022-05-01;15,00;12,00;4,00;33,00;3,00;5,00;2,00;8,00;3,00
2022-05-08;8,00;17,00;8,00;38,00;1,00;3,00;3,00;0,00;2,00
2022-05-15;11,00;14,00;7,00;31,00;4,00;0,00;0,00;2,00;0,00
2022-05-22;17,00;13,00;8,00;32,00;0,00;2,00;5,00;6,00;0,00
2022-05-29;12,00;22,00;15,00;27,00;0,00;4,00;4,00;2,00;0,00
2022-06-05;25,00;10,00;5,00;34,00;0,00;3,00;6,00;2,00;6,00
2022-06-12;19,00;19,00;19,00;32,00;3,00;0,00;4,00;11,00;6,00
2022-06-19;17,00;22,00;11,00;33,00;0,00;0,00;3,00;0,00;3,00
2022-06-26;9,00;16,00;8,00;28,00;3,00;2,00;0,00;3,00;0,00
2022-07-03;15,00;11,00;7,00;36,00;6,00;6,00;3,00;3,00;5,00
2022-07-10;16,00;23,00;10,00;39,00;0,00;0,00;4,00;6,00;0,00
2022-07-17;13,00;16,00;16,00;39,00;0,00;0,00;3,00;3,00;0,00
2022-07-24;15,00;19,00;8,00;30,00;3,00;0,00;0,00;3,00;5,00
2022-07-31;18,00;11,00;10,00;27,00;6,00;3,00;4,00;2,00;2,00
2022-08-07;20,00;22,00;12,00;43,00;0,00;0,00;0,00;0,00;0,00
2022-08-14;22,00;15,00;8,00;44,00;0,00;2,00;0,00;9,00;2,00
2022-08-21;13,00;15,00;11,00;41,00;3,00;4,00;2,00;0,00;3,00
2022-08-28;14,00;16,00;13,00;33,00;3,00;5,00;0,00;4,00;0,00
2022-09-04;8,00;10,00;13,00;33,00;0,00;0,00;0,00;6,00;0,00
2022-09-11;11,00;16,00;9,00;38,00;2,00;5,00;6,00;5,00;2,00
2022-09-18;14,00;17,00;8,00;32,00;8,00;0,00;0,00;3,00;0,00
2022-09-25;12,00;19,00;10,00;36,00;0,00;5,00;0,00;0,00;3,00
2022-10-02;18,00;22,00;14,00;36,00;0,00;0,00;9,00;0,00;5,00
2022-10-09;12,00;17,00;10,00;33,00;0,00;4,00;5,00;4,00;3,00
2022-10-16;13,00;22,00;14,00;35,00;0,00;4,00;0,00;0,00;5,00
2022-10-23;8,00;19,00;14,00;45,00;3,00;0,00;2,00;8,00;8,00
2022-10-30;16,00;16,00;15,00;39,00;0,00;4,00;3,00;4,00;0,00
2022-11-06;15,00;25,00;18,00;32,00;0,00;2,00;0,00;9,00;4,00
2022-11-13;16,00;19,00;9,00;31,00;0,00;4,00;3,00;5,00;0,00
2022-11-20;11,00;24,00;16,00;33,00;3,00;0,00;4,00;5,00;5,00
2022-11-27;11,00;18,00;22,00;34,00;2,00;0,00;6,00;5,00;2,00
2022-12-04;23,00;23,00;20,00;28,00;0,00;0,00;5,00;5,00;0,00
2022-12-11;18,00;29,00;8,00;28,00;3,00;0,00;2,00;6,00;0,00
2022-12-18;31,00;23,00;16,00;34,00;0,00;0,00;7,00;5,00;8,00
2022-12-25;18,00;32,00;23,00;42,00;0,00;5,00;4,00;0,00;3,00
2023-01-01;23,00;37,00;23,00;43,00;6,00;6,00;4,00;0,00;7,00
2023-01-08;18,00;45,00;18,00;42,00;2,00;5,00;7,00;0,00;3,00
2023-01-15;14,00;39,00;12,00;41,00;0,00;4,00;5,00;5,00;2,00
2023-01-22;18,00;28,00;19,00;58,00;2,00;4,00;4,00;0,00;4,00
2023-01-29;17,00;30,00;20,00;38,00;0,00;0,00;2,00;2,00;6,00
2023-02-05;25,00;22,00;12,00;31,00;0,00;0,00;6,00;4,00;3,00
2023-02-12;9,00;36,00;10,00;36,00;0,00;7,00;6,00;0,00;11,00
2023-02-19;12,00;28,00;15,00;35,00;0,00;0,00;8,00;0,00;4,00
2023-02-26;15,00;27,00;12,00;33,00;0,00;0,00;2,00;0,00;5,00
2023-03-05;19,00;23,00;8,00;45,00;0,00;5,00;3,00;6,00;3,00
2023-03-12;18,00;15,00;16,00;76,00;4,00;3,00;4,00;5,00;2,00
2023-03-19;26,00;25,00;7,00;33,00;5,00;5,00;4,00;5,00;3,00
2023-03-26;17,00;28,00;12,00;40,00;0,00;4,00;3,00;3,00;0,00
2023-04-02;24,00;25,00;11,00;39,00;0,00;4,00;3,00;2,00;3,00
2023-04-09;30,00;18,00;11,00;33,00;0,00;2,00;0,00;4,00;0,00
2023-04-16;25,00;32,00;6,00;40,00;7,00;2,00;0,00;0,00;6,00
2023-04-23;12,00;15,00;14,00;26,00;3,00;4,00;13,00;3,00;0,00
2023-04-30;14,00;13,00;11,00;31,00;2,00;0,00;5,00;3,00;5,00
2023-05-07;15,00;13,00;4,00;33,00;0,00;0,00;4,00;0,00;2,00
2023-05-14;14,00;21,00;13,00;35,00;0,00;0,00;4,00;2,00;8,00
2023-05-21;15,00;6,00;11,00;30,00;3,00;0,00;6,00;0,00;8,00
2023-05-28;8,00;14,00;8,00;26,00;4,00;0,00;0,00;9,00;0,00
2023-06-04;13,00;11,00;9,00;30,00;0,00;2,00;8,00;3,00;3,00
2023-06-11;3,00;12,00;10,00;28,00;0,00;0,00;5,00;0,00;0,00
