Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
05/01/2020;10;85;1,25;27,5;3,75;6;4;2;3;2;1;1;0
12/01/2020;12;78;0;25,2;3,6;5;2;2;1;1;1;1;0,5
19/01/2020;11;72,11;1,22;22;2,44;5;4;3;1;2;1;1;0
26/01/2020;12;66;0;22,8;3,6;5;3;2;1;1;0,5;1;1
02/02/2020;11;77;1,38;27,5;2,75;5;3;1;2;1;2;1;1
09/02/2020;10;77,5;1,25;27,5;3,75;6;2;3;2;1;1;0;0,5
16/02/2020;12;88;1,33;32;4;6;3;2;2;3;1;1;0
23/02/2020;10;68,75;1,25;26,25;2,5;5;3;1;3;2;2;1;0
01/03/2020;11;63,56;0,61;24,44;3,67;6;3;2;2;2;1;0,5;0,5
08/03/2020;8;53,71;1,14;19,43;2,29;4;1;1;2;1;1;1;0,5
15/03/2020;5;36,25;0,63;8,75;1,25;2;1;2;2;2;1;1;0
22/03/2020;2;22;1;15;1;3;1;2;0,5;1;0;0,5;2
29/03/2020;3;30;0;9;1,5;2;1;1;1;1;0,5;1;0
05/04/2020;3;28,5;0;7,5;1,5;1;2;1;2;1;1;0;0
12/04/2020;3;27;0;7,5;1,5;2;1;1;1;2;0;1;0
19/04/2020;2;16;0;4;1;2;1;1;1;0;0,5;1;0,5
26/04/2020;3;16;0,5;3;1;1;2;1;0,5;0;0;0;0
03/05/2020;3;25,5;0;9;1,5;3;1;0,5;1;0;0,5;1;0
10/05/2020;4;22,67;0;8;0;2;1;1;0,5;0;0;0,5;0,5
17/05/2020;6;20,4;0;8,4;1,2;2;3;0;1;1;0;0;0
24/05/2020;6;21,6;0;7,2;1,2;2;1;0,5;0,5;0,5;1;0;0
31/05/2020;8;30,67;0;12;1,33;3;2;1;1;1;1;0;0
07/06/2020;10;28,75;0;13,75;1,25;4;4;1;1;1;1;1;0
14/06/2020;9;37,29;0,64;16,71;2,57;4;3;1;1;1;1;0,5;0,5
21/06/2020;12;32,4;1,2;19,2;1,2;4;3;1;1;1;1;0,5;1
28/06/2020;13;40,18;1,18;21,27;2,36;6;4;1;2;2;1;1;0
05/07/2020;18;45,6;1,2;26,4;2,4;6;5;2;2;2;2;1;1
12/07/2020;24;56,4;0;30;3,6;8;4;1;1;2;7;0,5;1
19/07/2020;22;52,56;1,22;31,78;3,67;7;4;2;2;3;4;1;0
26/07/2020;18;44,4;1,2;28,8;2,4;6;4;1;2;2;1;1;0
02/08/2020;19;51,93;1,27;34,2;2,53;6;4;2;1;1;1;1;1
09/08/2020;16;48;1,23;29,54;2,46;6;4;2;1;1;1;1;1
16/08/2020;14;43,17;0,58;28;3,5;5;2;1;2;2;0,5;0;0,5
23/08/2020;18;47,57;1,29;30,86;3,86;4;3;1;1;2;1;2;0,5
30/08/2020;13;29,55;1,18;26;1,18;2;2;2;2;1;1;0;0
06/09/2020;5;26,25;0,63;26,25;2,5;2;2;0,5;1;0,5;0;0,5;1
13/09/2020;4;34,67;1,33;21,33;1,33;9;1;1;1;0,5;2;0,5;0,5
20/09/2020;5;32,5;0;21,25;1,25;2;1;1;1;1;0,5;0;0
27/09/2020;6;26,4;0;18;1,2;2;1;0;1;0;1;1;0
04/10/2020;7;19,83;0,58;14;1,17;2;2;0;1;0,5;0;0;0
11/10/2020;2;21;0,5;13;1;1;1;0,5;1;0;0;0;0
18/10/2020;4;21,33;1,33;9,33;1,33;0,5;1;1;0;0;0;0;1
25/10/2020;51;22,39;0;8,71;0;1;1;1;1;0;1;1;0
01/11/2020;6;15,6;0;6;1,2;2;1;1;1;0;0;0;1
08/11/2020;5;17,5;0;6,25;0;1;1;0;0,5;0;0;0,5;1
15/11/2020;3;24;0;6;0,75;2;1;1;1;0;0;1;0,5
22/11/2020;3;22,5;0;7,5;1,5;1;0;0;0;1;0;0;0
29/11/2020;5;17,5;0,63;8,75;0,63;2;1;0;1;1;1;0;0,5
06/12/2020;3;36;0;7,5;1,5;1;2;0,5;1;1;0;0,5;0
13/12/2020;4;14;0,5;5;1;1;1;0,5;2;0;0;0;1
20/12/2020;4;25,33;1,33;12;1,33;0,5;1;0;1;0;0;0;0
27/12/2020;4;22,67;0,67;12;1,33;1;1;1;1;1;1;0;0
03/01/2021;3;22,5;1,5;10,5;0;2;1;0;0;0;0;0;0
10/01/2021;4;21,33;0;8;1,33;1;1;0,5;1;1;0;0;1
17/01/2021;4;22,67;0,67;8;1,33;1;0,5;0;0,5;1;0;0,5;0
24/01/2021;4;21,33;0,67;9,33;1,33;1;1;1;1;0,5;0;0,5;0
31/01/2021;4;22,67;0,67;6,67;1,33;2;0;0;0;0;0,5;0;0,5
07/02/2021;4;22,67;1,33;9,33;1,33;1;1;1;0;0;0;0;0
14/02/2021;4;21,33;1,33;6,67;1,33;2;1;1;1;1;0;1;0
21/02/2021;4;21,33;0,67;8;1,33;1;2;1;1;1;1;0,5;0
28/02/2021;5;21,25;0;7,5;1,25;3;1;1;1;0;0;0,5;0
07/03/2021;5;21,25;1,25;13,75;1,25;2;1;0;0;0,5;0,5;0;0
14/03/2021;5;21,25;0,63;11,25;0,63;1;1;1;0;0,5;0,5;0;0
21/03/2021;4;18,67;1,33;9,33;0,67;1;0;1;0,5;1;1;1;0,5
28/03/2021;3;18;0,75;7,5;1,5;1;1;0,5;1;0;0,5;1;0
04/04/2021;7;21;0;5,83;1,17;1;0,5;0;1;1;0,5;1;1
11/04/2021;4;19;0,5;4;1;2;1;0,5;0,5;0,5;0;0;0
18/04/2021;4;20;0;5,33;0,67;2;1;1;2;1;1;0,5;1
25/04/2021;4;22,67;0;8;1,33;3;2;1;0,5;0,5;1;0;0
02/05/2021;5;23,75;0,63;7,5;1,25;2;2;1;1;1;1;1;0
09/05/2021;6;24;0,6;8,4;1,2;2;2;1;2;1;0;0,5;0
16/05/2021;7;29,4;0;15,4;2,8;3;2;1;1;1;1;1;0
23/05/2021;9;32,63;1,13;14,63;1,13;5;3;1;1;1;1;0,5;0
30/05/2021;10;31,25;1,25;17,5;1,25;4;3;2;2;3;1;1;0
06/06/2021;11;39,11;0,61;17,11;2,44;6;3;1;1;2;0,5;0;1
13/06/2021;9;38,25;1,13;13,5;3,38;6;4;1;1;2;1;1;1
20/06/2021;13;58,5;1,3;22,1;2,6;7;5;2;2;2;1;0;0
27/06/2021;13;59,8;0,65;20,8;3,9;7;3;1;2;2;2;1;1
04/07/2021;14;61,09;0;24,18;2,55;6;4;1;2;3;2;0;1
11/07/2021;16;59,08;1,23;27,08;2,46;6;4;1;1;2;1;0;1
18/07/2021;19;63,33;0;27,87;1,27;7;5;1;0,5;1;0,5;1;0
25/07/2021;18;54;0,6;24;3,6;5;2;2;2;3;1;0;0,5
01/08/2021;17;66,79;1,21;24,29;2,43;8;3;2;0,5;2;1;1;1
08/08/2021;16;67,69;0;24,62;3,69;5;4;2;0;2;1;1;0
15/08/2021;17;58,29;1,21;25,5;3,64;4;3;1;1;2;2;1;1
22/08/2021;22;58,67;0;26,89;3,67;12;4;3;2;2;1;0;0
29/08/2021;11;62,33;0;26,89;3,67;7;4;2;1;1;2;0;1
05/09/2021;11;64,78;1,22;25,67;2,44;4;3;1;1;1;1;0;0
12/09/2021;12;92,4;0,6;24;2,4;5;3;1;2;1;1;1;2
19/09/2021;12;104,4;0,6;25,2;2,4;5;3;2;1;2;1;1;0
26/09/2021;10;93,75;1,25;25;3,75;5;2;1;1;1;1;0;1
03/10/2021;12;102,67;1,33;30,67;2,67;4;3;0,5;1;1;0,5;0;0,5
10/10/2021;10;97,5;1,25;31,25;2,5;5;1;1;0;1;1;1;0,5
17/10/2021;8;98,67;1,33;32;1,33;5;2;1;1;1;1;1;0,5
24/10/2021;9;81;1,29;29,57;3,86;5;1;1;2;1;0;1;0
31/10/2021;7;70;0;23,33;2,33;3;2;1;1;1;0,5;0,5;1
07/11/2021;6;62,4;1,2;18;2,4;2;1;1;2;2;0,5;1;1
14/11/2021;4;58,67;1,33;20;2,67;2;1;1;2;1;1;0;0
21/11/2021;4;40;1;14;1;3;1;1;1;0;1;0,5;0
28/11/2021;4;52;0,67;22,67;1,33;1;1;0,5;1;1;1;1;1
05/12/2021;6;52,8;1,2;22,8;1,2;4;3;2;1;0;0;6;1
12/12/2021;5;61,25;1,25;26,25;2,5;3;3;1;1;1;0;1;0
19/12/2021;7;63;1,17;23,33;2,33;2;0;0;3;1;1;0;0
26/12/2021;8;86,86;0;26,29;2,29;5;2;1;1;1;1;1;1
02/01/2022;9;74,57;1,29;20,57;1,29;4;2;0,5;1;0;0;0,5;1
09/01/2022;10;60;1,25;15;2,5;3;3;1;1;1;1;1;0,5
16/01/2022;9;50,63;0;13,5;2,25;4;1;0;1;1;1;0;0
23/01/2022;9;65,57;1,29;12,86;2,57;5;3;1;2;2;1;1;0
30/01/2022;9;74,57;1,29;15,43;2,57;5;3;0;1;1;1;0;0
06/02/2022;11;70,89;0;17,11;3,67;7;3;0;2;2;1;1;0
13/02/2022;13;94,9;1,3;23,4;3,9;6;3;1;2;2;1;0;1
20/02/2022;13;88,4;1,3;23,4;3,9;5;3;1;2;1;1;0,5;0
27/02/2022;11;78,22;0,61;22;3,67;6;3;1;2;1;1;1;0,5
06/03/2022;14;88,67;1,17;22,17;2,33;7;3;0;1;1;1;1;0,5
13/03/2022;15;97,5;1,25;25;5;7;4;1;2;3;1;0;1
20/03/2022;15;103,75;2,5;27,5;3,75;7;3;1;1;2;1;1;1
27/03/2022;16;102,15;1,23;28,31;4,92;9;3;1;2;2;1;1;0,5
03/04/2022;19;115,27;1,27;32,93;5,07;10;3;1;1;3;1;1;1
10/04/2022;15;125;1,25;48,75;6,25;10;3;1;2;3;2;1;2
17/04/2022;18;110,57;1,29;42,43;5,14;8;4;0,5;2;2;1;1;1
24/04/2022;15;93,75;1,25;30;5;7;4;1;2;2;1;1;0,5
01/05/2022;17;104,62;1,31;31,38;3,92;7;4;1;2;3;1;2;1
08/05/2022;18;88,8;1,2;28,8;3,6;7;4;1;3;2;1;1;1
15/05/2022;18;97,71;1,29;37,29;5,14;8;4;1;3;1;2;3;1
22/05/2022;16;103,38;1,23;44,31;4,92;7;5;1;2;3;1;1;1
29/05/2022;21;107,47;2,47;38,29;3,71;8;6;2;5;3;1;1;0,5
05/06/2022;24;103,58;1,26;40,42;3,79;10;5;0;1;3;1;1;1
12/06/2022;19;90,25;1,19;36,81;4,75;8;5;0;2;2;1;1;0
19/06/2022;18;83,57;1,29;28,29;5,14;10;6;1;2;2;2;1;0,5
26/06/2022;22;79,44;1,22;29,33;6,11;8;6;1;2;2;2;2;0
03/07/2022;21;96,35;0,62;37,06;6,18;10;5;1;3;2;0;1;1
10/07/2022;22;95,76;0;32,35;5,18;9;6;1;2;3;1;2;1
17/07/2022;22;101,44;1,22;37,89;6,11;10;5;1;2;3;2;1;2
24/07/2022;20;107,5;2,5;38,75;5;9;4;2;2;3;2;1;1
31/07/2022;21;121,06;1,24;34,59;4,94;8;6;1;2;3;1;1;1